n\k	5	10	15	20	25	30	35	40	45	50
100	2.23943	1.81968	1.72034	1.64959	1.58585	1.5284	1.47638	1.42951	1.38698	1.34873
200	2.54961	2.03163	1.86349	1.80903	1.76841	1.73019	1.69445	1.65978	1.6274	1.59595
400	2.8434	2.31081	2.03105	1.92007	1.87984	1.85582	1.83433	1.81342	1.79337	1.77366
800	3.16889	2.57407	2.284	2.08634	1.98312	1.93768	1.91634	1.90273	1.8911	1.87994
1600	3.48318	2.77183	2.54659	2.34084	2.17866	2.06928	2.00456	1.96955	1.95108	1.94038
3200	3.77363	2.96714	2.74252	2.59115	2.44041	2.30543	2.19489	2.1115	2.05266	2.01386
6400	4.09112	3.23114	2.88104	2.77035	2.66669	2.55876	2.45304	2.35494	2.26813	2.1945
12800	4.41052	3.5067	3.0585	2.88684	2.81731	2.74861	2.67506	2.59909	2.52312	2.44937
25600	4.70121	3.7211	3.31816	3.02539	2.91355	2.86583	2.82206	2.77469	2.72421	2.67182
51200	5.01057	3.90563	3.57438	3.25994	3.04296	2.94729	2.90843	2.88037	2.85126	2.81991
102400	5.33644	4.1506	3.76082	3.52155	3.27455	3.0904	2.99015	2.94609	2.92372	2.90565
